timestamp,reqType,service,rt,numberOfReqs 
1421673072786,local,getVideoResource,3295,1
1421673093117,local,scaleVideo,20331,1
1421673093241,local,transcodeVideo,123,1
1421673095177,local,bitDepthReduction,1935,1
1421673095178,local,videoProvisioner,25688,1
1421673131825,local,checkIfAvailable,1021,1
1421673134949,local,downloadVideo,3123,1
1421673134950,local,getVideoResource,4147,1
1421673154529,local,scaleVideo,19579,1
1421673154817,local,transcodeVideo,287,1
1421673156925,local,bitDepthReduction,2107,1
1421673157137,local,checkIfSubtitlesAvailable,211,1
1421673158857,local,checkIfSubtitlesExists,1719,1
1421673159296,local,checkIfAvailable,967,1
1421673159301,local,getDefaultSubtitle,443,1
1421673159302,local,getSubtitles,2376,1
1421673159463,local,downloadVideo,166,1
1421673159464,local,getVideoResource,1135,1
1421673159505,local,applySubtitles,202,1
1421673159506,local,videoProvisioner,28703,1
1421673167761,local,scaleVideo,8297,1
1421673169669,local,transcodeVideo,1907,1
1421673170697,local,bitDepthReduction,1026,1
1421673175133,local,checkIfSubtitlesAvailable,4435,1
1421673175897,local,checkIfSubtitlesExists,763,1
1421673178713,local,getDefaultSubtitle,2815,1
1421673178714,local,getSubtitles,8016,1
1421673178825,local,applySubtitles,111,1
1421673178826,local,videoProvisioner,20498,1
1421673194257,local,checkIfAvailable,3385,1
1421673195453,local,downloadVideo,1195,1
1421673195454,local,getVideoResource,4591,1
1421673219801,local,scaleVideo,24347,1
1421673220321,local,transcodeVideo,519,1
1421673220497,local,bitDepthReduction,175,1
1421673220498,local,videoProvisioner,29635,1
1421671490848,local,checkIfAvailable,332,1
1421671491775,local,downloadVideo,921,1
1421671491776,local,getVideoResource,1261,1
1421671501834,local,scaleVideo,10058,1
1421671502330,local,transcodeVideo,495,1
1421671502570,local,bitDepthReduction,239,1
1421671502570,local,videoProvisioner,12056,1
1421671515722,local,checkIfAvailable,199,1
1421671517602,local,downloadVideo,1879,1
1421671517602,local,getVideoResource,2079,1
1421671545758,local,scaleVideo,28155,1
1421671545926,local,transcodeVideo,167,1
1421671546098,local,bitDepthReduction,170,1
1421671546099,local,videoProvisioner,30577,1
1421671630906,local,checkIfAvailable,276,1
1421671635918,local,downloadVideo,5011,1
1421671635919,local,getVideoResource,5289,1
1421671664038,local,scaleVideo,28118,1
1421671664302,local,transcodeVideo,263,1
1421671664554,local,bitDepthReduction,251,1
1421671664559,local,videoProvisioner,33931,1
1421671672806,local,checkIfAvailable,888,1
1421671673218,local,downloadVideo,411,1
