timestamp,reqType,service,rt,selflet,numberOfReqs 
1425128782033,LocalReqLocalExe,scaleVideo,25721,10,1
1425128783088,LocalReqLocalExe,transcodeVideo,1054,10,1
1425128784943,LocalReqLocalExe,bitDepthReduction,1854,10,1
1425128784943,LocalReqLocalExe,videoProvisioner,32533,10,1
1425128785494,LocalReqLocalExe,checkIfAvailable,7359,10,1
1425128786418,LocalReqLocalExe,downloadVideo,923,10,1
1425128786419,LocalReqLocalExe,getVideoResource,8285,10,1
1425128810714,LocalReqLocalExe,scaleVideo,24294,10,1
1425128811730,LocalReqLocalExe,transcodeVideo,1012,10,1
1425128812150,LocalReqLocalExe,bitDepthReduction,419,10,1
1425128812626,LocalReqLocalExe,checkIfSubtitlesAvailable,474,10,1
1425128812764,LocalReqLocalExe,checkIfSubtitlesExists,137,10,1
1425128814759,LocalReqLocalExe,getDefaultSubtitle,1994,10,1
1425128814759,LocalReqLocalExe,getSubtitles,2608,10,1
1425128814910,LocalReqLocalExe,applySubtitles,150,10,1
1425128814911,LocalReqLocalExe,videoProvisioner,36777,10,1
1425128841074,LocalReqLocalExe,checkIfAvailable,56,10,1
1425128841778,LocalReqLocalExe,downloadVideo,703,10,1
1425128841779,LocalReqLocalExe,getVideoResource,762,10,1
1425128865550,LocalReqLocalExe,scaleVideo,23771,10,1
1425128866858,LocalReqLocalExe,transcodeVideo,1307,10,1
1425128868954,LocalReqLocalExe,bitDepthReduction,2095,10,1
1425128869186,LocalReqLocalExe,checkIfSubtitlesAvailable,230,10,1
1425128870626,LocalReqLocalExe,checkIfSubtitlesExists,1439,10,1
1425128872174,LocalReqLocalExe,getDefaultSubtitle,1547,10,1
1425128872198,LocalReqLocalExe,translateSubtitleToLanguage,23,10,1
1425128872199,LocalReqLocalExe,getSubtitles,3244,10,1
1425128874058,LocalReqLocalExe,applySubtitles,1859,10,1
1425128874059,LocalReqLocalExe,videoProvisioner,33042,10,1
1425128940134,LocalReqLocalExe,checkIfAvailable,1937,10,1
1425128945454,LocalReqLocalExe,downloadVideo,5319,10,1
1425128945455,LocalReqLocalExe,getVideoResource,7258,10,1
1425128952751,LocalReqLocalExe,checkIfAvailable,261,10,1
1425128952878,LocalReqLocalExe,downloadVideo,126,10,1
1425128952879,LocalReqLocalExe,getVideoResource,390,10,1
1425128980282,LocalReqLocalExe,scaleVideo,27402,10,1
1425128980694,LocalReqLocalExe,transcodeVideo,412,10,1
1425128981121,LocalReqLocalExe,checkIfAvailable,5762,10,1
1425128982692,LocalReqLocalExe,downloadVideo,1570,10,1
1425128982692,LocalReqLocalExe,getVideoResource,7338,10,1
1425128988457,LocalReqLocalExe,bitDepthReduction,7762,10,1
1425128988457,LocalReqLocalExe,videoProvisioner,35968,10,1
1425129005458,LocalReqLocalExe,checkIfAvailable,1517,10,1
1425129006606,LocalReqLocalExe,downloadVideo,1147,10,1
1425129006607,LocalReqLocalExe,getVideoResource,2671,10,1
1425129021036,LocalReqLocalExe,scaleVideo,38343,10,1
1425129024962,LocalReqLocalExe,transcodeVideo,3925,10,1
1425129025260,LocalReqLocalExe,scaleVideo,79804,10,1
1425129027099,LocalReqLocalExe,transcodeVideo,1838,10,1
1425129030709,LocalReqLocalExe,bitDepthReduction,5746,10,1
1425129030709,LocalReqLocalExe,videoProvisioner,55356,10,1
1425129031950,LocalReqLocalExe,bitDepthReduction,4850,10,1
1425129031951,LocalReqLocalExe,videoProvisioner,93755,10,1
1425129044854,LocalReqLocalExe,scaleVideo,38246,10,1
1425129046282,LocalReqLocalExe,transcodeVideo,1427,10,1
1425129047650,LocalReqLocalExe,bitDepthReduction,1367,10,1
1425129047651,LocalReqLocalExe,videoProvisioner,43716,10,1
1425129053906,LocalReqLocalExe,checkIfAvailable,1381,10,1
1425129059106,LocalReqLocalExe,downloadVideo,5199,10,1
1425129059107,LocalReqLocalExe,getVideoResource,6582,10,1
1425129134618,LocalReqLocalExe,scaleVideo,75511,10,1
1425129134850,LocalReqLocalExe,transcodeVideo,231,10,1
1425129136178,LocalReqLocalExe,bitDepthReduction,1327,10,1
1425129136179,LocalReqLocalExe,videoProvisioner,83654,10,1
1425129156154,LocalReqLocalExe,checkIfAvailable,1082,10,1
1425129156546,LocalReqLocalExe,downloadVideo,391,10,1
1425129156547,LocalReqLocalExe,getVideoResource,1475,10,1
1425129160503,LocalReqLocalExe,checkIfAvailable,2929,10,1
1425129160903,LocalReqLocalExe,downloadVideo,399,10,1
1425129160903,LocalReqLocalExe,getVideoResource,3330,10,1
1425129182637,LocalReqLocalExe,checkIfAvailable,45,10,1
1425129184334,LocalReqLocalExe,downloadVideo,1697,10,1
1425129184335,LocalReqLocalExe,getVideoResource,1750,10,1
1425129184675,LocalReqLocalExe,scaleVideo,28127,10,1
1425129186328,LocalReqLocalExe,transcodeVideo,1653,10,1
1425129188100,LocalReqLocalExe,bitDepthReduction,1771,10,1
1425129190921,LocalReqLocalExe,checkIfSubtitlesAvailable,2817,10,1
1425129197439,LocalReqLocalExe,checkIfSubtitlesExists,6517,10,1
1425129199129,LocalReqLocalExe,getDefaultSubtitle,1689,10,1
1425129199129,LocalReqLocalExe,getSubtitles,11028,10,1
1425129200789,LocalReqLocalExe,applySubtitles,1659,10,1
1425129200789,LocalReqLocalExe,videoProvisioner,45718,10,1
1425129211362,LocalReqLocalExe,checkIfAvailable,1260,10,1
1425129211363,LocalReqLocalExe,getVideoResource,1265,10,1
1425129250190,LocalReqLocalExe,checkIfAvailable,15077,10,1
1425129253581,LocalReqLocalExe,downloadVideo,3390,10,1
1425129253582,LocalReqLocalExe,getVideoResource,18471,10,1
1425129258941,LocalReqRemoteExe,checkIfAvailable,1326,9,1
1425129266410,LocalReqLocalExe,checkIfAvailable,6284,10,1
1425129267028,LocalReqLocalExe,downloadVideo,618,10,1
1425129267029,LocalReqLocalExe,getVideoResource,6905,10,1
1425129267524,LocalReqLocalExe,downloadVideo,8582,10,1
1425129267525,LocalReqLocalExe,getVideoResource,9903,10,1
1425129269106,LocalReqLocalExe,scaleVideo,57743,10,1
1425129270507,LocalReqLocalExe,transcodeVideo,1400,10,1
1425129272542,LocalReqLocalExe,checkIfAvailable,2412,10,1
1425129274433,LocalReqLocalExe,downloadVideo,1891,10,1
1425129274434,LocalReqLocalExe,getVideoResource,4306,10,1
1425129277166,LocalReqLocalExe,scaleVideo,116262,10,1
1425129283312,LocalReqLocalExe,bitDepthReduction,12805,10,1
1425129283313,LocalReqLocalExe,videoProvisioner,73215,10,1
1425129284113,LocalReqLocalExe,transcodeVideo,6946,10,1
1425129285228,LocalReqLocalExe,checkIfAvailable,90,10,1
1425129290920,LocalReqLocalExe,downloadVideo,5692,10,1
1425129290920,LocalReqLocalExe,getVideoResource,5783,10,1
1425129291786,LocalReqLocalExe,bitDepthReduction,7672,10,1
1425129291786,LocalReqLocalExe,videoProvisioner,134213,10,1
1425129339143,LocalReqLocalExe,checkIfAvailable,1479,10,1
1425129341476,LocalReqLocalExe,scaleVideo,87894,10,1
1425129344032,LocalReqLocalExe,downloadVideo,4889,10,1
1425129344033,LocalReqLocalExe,getVideoResource,6372,10,1
1425129344475,LocalReqLocalExe,transcodeVideo,2998,10,1
1425129346479,LocalReqLocalExe,bitDepthReduction,2004,10,1
1425129346479,LocalReqLocalExe,videoProvisioner,111368,10,1
1425129350756,LocalReqLocalExe,scaleVideo,83231,10,1
1425129364172,LocalReqLocalExe,checkIfAvailable,6499,10,1
1425129364955,LocalReqLocalExe,downloadVideo,783,10,1
1425129364956,LocalReqLocalExe,getVideoResource,7285,10,1
1425129366301,LocalReqLocalExe,transcodeVideo,15544,10,1
1425129369731,LocalReqLocalExe,scaleVideo,102702,10,1
1425129369813,LocalReqLocalExe,bitDepthReduction,3511,10,1
1425129369813,LocalReqLocalExe,videoProvisioner,112191,10,1
1425129377070,LocalReqLocalExe,scaleVideo,192734,10,1
1425129378059,LocalReqLocalExe,scaleVideo,87138,10,1
1425129378372,LocalReqLocalExe,transcodeVideo,1302,10,1
1425129379295,LocalReqLocalExe,transcodeVideo,1235,10,1
1425129382920,LocalReqLocalExe,bitDepthReduction,4547,10,1
1425129382921,LocalReqLocalExe,videoProvisioner,200336,10,1
1425129383101,LocalReqLocalExe,bitDepthReduction,3806,10,1
1425129387444,LocalReqLocalExe,transcodeVideo,17713,10,1
1425129389349,LocalReqLocalExe,checkIfSubtitlesAvailable,6246,10,1
1425129390182,LocalReqLocalExe,bitDepthReduction,2737,10,1
1425129390183,LocalReqLocalExe,videoProvisioner,130059,10,1
1425129394273,LocalReqLocalExe,checkIfSubtitlesExists,4923,10,1
1425129401389,LocalReqLocalExe,getDefaultSubtitle,7115,10,1
1425129401390,LocalReqLocalExe,getSubtitles,18289,10,1
1425129401476,LocalReqLocalExe,checkIfAvailable,1274,10,1
1425129403240,LocalReqLocalExe,applySubtitles,1849,10,1
1425129403240,LocalReqLocalExe,videoProvisioner,118104,10,1
1425129405763,LocalReqLocalExe,downloadVideo,4286,10,1
1425129405764,LocalReqLocalExe,getVideoResource,5565,10,1
1425129419457,LocalReqLocalExe,scaleVideo,75423,10,1
1425129420633,LocalReqLocalExe,transcodeVideo,1175,10,1
1425129422854,LocalReqLocalExe,bitDepthReduction,2220,10,1
1425129422854,LocalReqLocalExe,videoProvisioner,85193,10,1
1425129425813,LocalReqRemoteExe,scaleVideo,20061,13,1
1425129426746,LocalReqLocalExe,transcodeVideo,932,10,1
1425129426861,LocalReqLocalExe,scaleVideo,61904,10,1
1425129427958,LocalReqLocalExe,transcodeVideo,1096,10,1
1425129429306,LocalReqLocalExe,bitDepthReduction,2559,10,1
1425129429307,LocalReqLocalExe,videoProvisioner,29109,10,1
1425129430678,LocalReqLocalExe,bitDepthReduction,2719,10,1
1425129431222,LocalReqLocalExe,checkIfSubtitlesAvailable,542,10,1
1425129432094,LocalReqLocalExe,checkIfSubtitlesExists,871,10,1
1425129432787,LocalReqLocalExe,getDefaultSubtitle,692,10,1
1425129432787,LocalReqLocalExe,getSubtitles,2108,10,1
1425129433706,LocalReqLocalExe,applySubtitles,918,10,1
1425129433707,LocalReqLocalExe,videoProvisioner,76036,10,1
1425129461586,LocalReqLocalExe,scaleVideo,187152,10,1
1425129461626,LocalReqLocalExe,transcodeVideo,39,10,1
1425129462198,LocalReqLocalExe,bitDepthReduction,571,10,1
1425129462199,LocalReqLocalExe,videoProvisioner,192071,10,1
1425129494722,LocalReqLocalExe,checkIfAvailable,1983,10,1
1425129494882,LocalReqLocalExe,downloadVideo,159,10,1
1425129494883,LocalReqLocalExe,getVideoResource,2145,10,1
1425129518986,LocalReqLocalExe,scaleVideo,24103,10,1
1425129521674,LocalReqLocalExe,transcodeVideo,2687,10,1
1425129522322,LocalReqLocalExe,bitDepthReduction,647,10,1
1425129522323,LocalReqLocalExe,videoProvisioner,29586,10,1
1425129573994,LocalReqLocalExe,checkIfAvailable,1218,10,1
1425129575250,LocalReqLocalExe,downloadVideo,1255,10,1
1425129575251,LocalReqLocalExe,getVideoResource,2475,10,1
1425129593574,LocalReqLocalExe,scaleVideo,18323,10,1
1425129594154,LocalReqLocalExe,transcodeVideo,579,10,1
1425129594454,LocalReqLocalExe,bitDepthReduction,299,10,1
1425129594455,LocalReqLocalExe,videoProvisioner,21680,10,1
1425129618342,LocalReqLocalExe,checkIfAvailable,544,10,1
1425129620254,LocalReqLocalExe,downloadVideo,1911,10,1
1425129620255,LocalReqLocalExe,getVideoResource,2457,10,1
1425129642606,LocalReqLocalExe,scaleVideo,22351,10,1
1425129643950,LocalReqLocalExe,transcodeVideo,1343,10,1
1425129645402,LocalReqLocalExe,bitDepthReduction,1451,10,1
1425129645403,LocalReqLocalExe,videoProvisioner,27606,10,1
1425129668474,LocalReqLocalExe,checkIfAvailable,651,10,1
1425129668502,LocalReqLocalExe,downloadVideo,26,10,1
1425129668503,LocalReqLocalExe,getVideoResource,681,10,1
1425129685839,LocalReqLocalExe,checkIfAvailable,3008,10,1
1425129686663,LocalReqLocalExe,downloadVideo,823,10,1
1425129686664,LocalReqLocalExe,getVideoResource,3834,10,1
1425129692378,LocalReqLocalExe,scaleVideo,23875,10,1
1425129692818,LocalReqLocalExe,transcodeVideo,440,10,1
1425129694927,LocalReqLocalExe,bitDepthReduction,2108,10,1
1425129694927,LocalReqLocalExe,videoProvisioner,27105,10,1
1425129712758,LocalReqLocalExe,scaleVideo,26093,10,1
1425129713038,LocalReqLocalExe,transcodeVideo,279,10,1
1425129713686,LocalReqLocalExe,bitDepthReduction,647,10,1
1425129713687,LocalReqLocalExe,videoProvisioner,30857,10,1
1425129752922,LocalReqLocalExe,checkIfAvailable,58,10,1
1425129753014,LocalReqLocalExe,downloadVideo,91,10,1
1425129753015,LocalReqLocalExe,getVideoResource,151,10,1
1425129768138,LocalReqLocalExe,checkIfAvailable,2766,10,1
1425129769582,LocalReqLocalExe,downloadVideo,1443,10,1
1425129769582,LocalReqLocalExe,getVideoResource,4211,10,1
1425129777025,LocalReqLocalExe,scaleVideo,24010,10,1
1425129778234,LocalReqLocalExe,transcodeVideo,1209,10,1
1425129778674,LocalReqLocalExe,bitDepthReduction,439,10,1
1425129778675,LocalReqLocalExe,videoProvisioner,25812,10,1
1425129795202,LocalReqLocalExe,scaleVideo,25619,10,1
1425129797250,LocalReqLocalExe,transcodeVideo,2047,10,1
1425129797682,LocalReqLocalExe,bitDepthReduction,431,10,1
1425129797890,LocalReqLocalExe,checkIfSubtitlesAvailable,206,10,1
1425129802274,LocalReqLocalExe,checkIfSubtitlesExists,4383,10,1
1425129802822,LocalReqLocalExe,getDefaultSubtitle,547,10,1
1425129802823,LocalReqLocalExe,getSubtitles,5140,10,1
1425129803718,LocalReqLocalExe,applySubtitles,890,10,1
1425129803719,LocalReqLocalExe,videoProvisioner,38348,10,1
1425129823410,LocalReqLocalExe,checkIfAvailable,512,10,1
1425129823722,LocalReqLocalExe,downloadVideo,311,10,1
1425129823723,LocalReqLocalExe,getVideoResource,826,10,1
1425129847717,LocalReqLocalExe,scaleVideo,23994,10,1
1425129847823,LocalReqLocalExe,transcodeVideo,105,10,1
1425129848462,LocalReqLocalExe,checkIfAvailable,3052,10,1
1425129848463,LocalReqLocalExe,getVideoResource,3054,10,1
1425129851002,LocalReqLocalExe,bitDepthReduction,3178,10,1
1425129851003,LocalReqLocalExe,videoProvisioner,28106,10,1
1425129870738,LocalReqLocalExe,scaleVideo,22274,10,1
1425129873758,LocalReqLocalExe,transcodeVideo,3019,10,1
1425129877270,LocalReqLocalExe,bitDepthReduction,3511,10,1
1425129877271,LocalReqLocalExe,videoProvisioner,31863,10,1
1425129901742,LocalReqLocalExe,checkIfAvailable,1306,10,1
1425129902730,LocalReqLocalExe,downloadVideo,987,10,1
1425129902731,LocalReqLocalExe,getVideoResource,2296,10,1
1425129931094,LocalReqLocalExe,scaleVideo,28363,10,1
1425129931122,LocalReqLocalExe,transcodeVideo,27,10,1
1425129932442,LocalReqLocalExe,bitDepthReduction,1319,10,1
1425129932443,LocalReqLocalExe,videoProvisioner,32008,10,1
1425129957334,LocalReqLocalExe,checkIfAvailable,1871,10,1
1425129957426,LocalReqLocalExe,downloadVideo,91,10,1
1425129957427,LocalReqLocalExe,getVideoResource,1965,10,1
1425129983030,LocalReqLocalExe,scaleVideo,25603,10,1
1425129983930,LocalReqLocalExe,transcodeVideo,899,10,1
1425129984070,LocalReqLocalExe,bitDepthReduction,139,10,1
1425129984071,LocalReqLocalExe,videoProvisioner,28609,10,1
1425130050470,LocalReqLocalExe,checkIfAvailable,2459,10,1
1425130053294,LocalReqLocalExe,downloadVideo,2823,10,1
1425130053295,LocalReqLocalExe,getVideoResource,5284,10,1
1425130072882,LocalReqLocalExe,scaleVideo,19587,10,1
1425130074862,LocalReqLocalExe,transcodeVideo,1979,10,1
1425130075758,LocalReqLocalExe,bitDepthReduction,895,10,1
1425130075759,LocalReqLocalExe,videoProvisioner,27749,10,1
1425130091102,LocalReqLocalExe,checkIfAvailable,570,10,1
1425130091518,LocalReqLocalExe,downloadVideo,415,10,1
1425130091519,LocalReqLocalExe,getVideoResource,987,10,1
1425130114114,LocalReqLocalExe,scaleVideo,22595,10,1
1425130116966,LocalReqLocalExe,transcodeVideo,2851,10,1
1425130118154,LocalReqLocalExe,bitDepthReduction,1187,10,1
1425130118155,LocalReqLocalExe,videoProvisioner,27623,10,1
1425130121782,LocalReqLocalExe,checkIfAvailable,1234,10,1
1425130123494,LocalReqLocalExe,downloadVideo,1711,10,1
1425130123495,LocalReqLocalExe,getVideoResource,2948,10,1
1425130145691,LocalReqLocalExe,checkIfAvailable,129,10,1
1425130147719,LocalReqLocalExe,scaleVideo,24224,10,1
1425130148317,LocalReqLocalExe,downloadVideo,2626,10,1
1425130148318,LocalReqLocalExe,getVideoResource,2757,10,1
1425130148798,LocalReqLocalExe,transcodeVideo,1078,10,1
1425130150338,LocalReqLocalExe,bitDepthReduction,1540,10,1
1425130150339,LocalReqLocalExe,videoProvisioner,29792,10,1
1425130173298,LocalReqLocalExe,scaleVideo,24980,10,1
1425130173670,LocalReqLocalExe,transcodeVideo,371,10,1
1425130174846,LocalReqLocalExe,bitDepthReduction,1171,10,1
1425130174847,LocalReqLocalExe,videoProvisioner,29287,10,1
1425130186570,LocalReqLocalExe,checkIfAvailable,992,10,1
1425130186730,LocalReqLocalExe,downloadVideo,159,10,1
1425130186731,LocalReqLocalExe,getVideoResource,1153,10,1
1425130206330,LocalReqLocalExe,scaleVideo,19599,10,1
1425130206978,LocalReqLocalExe,transcodeVideo,647,10,1
1425130207530,LocalReqLocalExe,bitDepthReduction,551,10,1
1425130207531,LocalReqLocalExe,videoProvisioner,21954,10,1
1425130223610,LocalReqLocalExe,checkIfAvailable,513,10,1
1425130227994,LocalReqLocalExe,downloadVideo,4383,10,1
1425130227995,LocalReqLocalExe,getVideoResource,4898,10,1
1425130251338,LocalReqLocalExe,scaleVideo,23343,10,1
1425130251390,LocalReqLocalExe,transcodeVideo,51,10,1
