timestamp,reqType,service,rt,numberOfReqs 
1421503541304,local,bitDepthReduction,5438,1
1421503541305,local,videoProvisioner,135103,1
1421503543298,local,transcodeVideo,1997,1
1421503545424,local,bitDepthReduction,2125,1
1421503545424,local,videoProvisioner,135888,1
1421503560480,local,scaleVideo,65540,1
1421503560505,local,transcodeVideo,24,1
1421503560702,local,bitDepthReduction,197,1
1421503561612,local,checkIfSubtitlesAvailable,901,1
1421503564806,local,checkIfSubtitlesExists,3193,1
1421503564808,local,getSubtitles,4105,1
1421503565469,local,applySubtitles,660,1
1421503565469,local,videoProvisioner,112586,1
1421503580500,local,scaleVideo,211533,1
1421503580568,local,transcodeVideo,67,1
1421503584340,local,bitDepthReduction,3771,1
1421503584340,local,videoProvisioner,224819,1
1421503586277,local,checkIfAvailable,3349,1
1421503596020,local,downloadVideo,9742,1
1421503596021,local,getVideoResource,13100,1
1421503611001,local,scaleVideo,123547,1
1421503611665,local,transcodeVideo,663,1
1421503614462,local,bitDepthReduction,2797,1
1421503614462,local,videoProvisioner,174917,1
1421503623760,local,checkIfAvailable,826,1
1421503624277,local,downloadVideo,515,1
1421503624277,local,getVideoResource,1344,1
1421503624792,local,scaleVideo,28770,1
1421503626288,local,transcodeVideo,1495,1
1421503628014,local,bitDepthReduction,1725,1
1421503628015,local,videoProvisioner,45095,1
1421503693204,local,scaleVideo,68926,1
1421503693728,local,transcodeVideo,523,1
1421503694284,local,bitDepthReduction,555,1
1421503694516,local,checkIfSubtitlesAvailable,230,1
1421503695656,local,checkIfSubtitlesExists,1139,1
1421503696664,local,getDefaultSubtitle,1007,1
1421503696665,local,getSubtitles,2380,1
1421503696736,local,applySubtitles,71,1
1421503696737,local,videoProvisioner,73805,1
1421503707020,local,checkIfAvailable,724,1
1421503711868,local,downloadVideo,4847,1
1421503711869,local,getVideoResource,5573,1
1421503718057,local,checkIfAvailable,3186,1
1421503721933,local,downloadVideo,3874,1
1421503721934,local,getVideoResource,7063,1
1421503723224,local,checkIfAvailable,2635,1
1421503725644,local,downloadVideo,2419,1
1421503725645,local,getVideoResource,5057,1
1421503745552,local,checkIfAvailable,7808,1
1421503745849,local,downloadVideo,295,1
1421503745850,local,getVideoResource,8108,1
1421503754741,local,scaleVideo,42872,1
1421503754848,local,transcodeVideo,106,1
1421503754952,local,bitDepthReduction,102,1
1421503754952,local,videoProvisioner,48657,1
1421503758676,local,checkIfAvailable,923,1
1421503758677,local,getVideoResource,927,1
1421503778296,local,checkIfAvailable,17686,1
1421503779210,local,scaleVideo,53564,1
1421503781797,local,checkIfAvailable,4038,1
1421503783588,local,downloadVideo,10228,1
1421503783588,local,getVideoResource,11548,1
1421503783993,local,downloadVideo,5696,1
1421503783994,local,getVideoResource,23386,1
1421503786121,local,downloadVideo,4323,1
1421503786122,local,getVideoResource,8365,1
1421503786949,local,transcodeVideo,7738,1
1421503789859,local,scaleVideo,67924,1
1421503791868,local,bitDepthReduction,4918,1
1421503791869,local,videoProvisioner,71282,1
1421503796436,local,transcodeVideo,6576,1
1421503814538,local,bitDepthReduction,18101,1
1421503814845,local,checkIfSubtitlesAvailable,304,1
1421503815193,local,scaleVideo,56515,1
1421503815854,local,checkIfSubtitlesExists,1008,1
1421503816934,local,getDefaultSubtitle,1079,1
1421503816935,local,getSubtitles,2396,1
1421503818945,local,applySubtitles,2009,1
1421503818945,local,videoProvisioner,104075,1
1421503822785,local,transcodeVideo,7591,1
1421503823701,local,bitDepthReduction,913,1
1421503823701,local,videoProvisioner,65952,1
1421503836855,local,scaleVideo,91005,1
1421503842394,local,bitDepthReduction,3668,1
1421503842396,local,videoProvisioner,104654,1
1421503853867,local,scaleVideo,69872,1
1421503856944,local,transcodeVideo,3076,1
1421503857156,local,scaleVideo,73567,1
1421503857261,local,transcodeVideo,104,1
1421503859068,local,bitDepthReduction,2123,1
1421503859068,local,videoProvisioner,98460,1
1421503860022,local,bitDepthReduction,2760,1
1421503860028,local,videoProvisioner,87988,1
1421503860108,local,checkIfAvailable,5177,1
1421503862306,local,downloadVideo,2197,1
1421503862308,local,getVideoResource,7378,1
1421503898721,local,scaleVideo,36413,1
1421503898780,local,transcodeVideo,58,1
1421503900693,local,bitDepthReduction,1913,1
1421503900693,local,videoProvisioner,45763,1
1421503904824,local,scaleVideo,118702,1
1421503905744,local,transcodeVideo,919,1
1421503906600,local,bitDepthReduction,855,1
1421503906601,local,videoProvisioner,128844,1
1421503935276,local,checkIfAvailable,314,1
1421503937528,local,downloadVideo,2251,1
1421503937529,local,getVideoResource,2567,1
1421503951763,local,checkIfAvailable,365,1
1421503952054,local,downloadVideo,290,1
1421503952055,local,getVideoResource,658,1
1421503960368,local,scaleVideo,22839,1
1421503960612,local,transcodeVideo,243,1
1421503961631,local,bitDepthReduction,1018,1
1421503961632,local,videoProvisioner,26671,1
1421503975948,local,scaleVideo,23892,1
1421503975992,local,transcodeVideo,43,1
1421503976136,local,bitDepthReduction,143,1
1421503976137,local,videoProvisioner,24741,1
1421503978424,local,checkIfAvailable,2014,1
1421503981856,local,downloadVideo,3431,1
1421503981857,local,getVideoResource,5448,1
1421504052076,local,scaleVideo,70219,1
1421504052940,local,transcodeVideo,863,1
1421504053936,local,bitDepthReduction,995,1
1421504054156,local,checkIfSubtitlesAvailable,219,1
1421504055612,local,checkIfSubtitlesExists,1455,1
1421504056772,local,getDefaultSubtitle,1159,1
1421504056948,local,translateSubtitleToLanguage,175,1
1421504056949,local,getSubtitles,3012,1
1421504057032,local,applySubtitles,83,1
1421504057032,local,videoProvisioner,80623,1
1421504152156,local,checkIfAvailable,659,1
1421504152416,local,downloadVideo,259,1
1421504152417,local,getVideoResource,920,1
1421504174996,local,scaleVideo,22579,1
1421504175020,local,transcodeVideo,23,1
1421504176884,local,bitDepthReduction,1863,1
1421504177064,local,checkIfSubtitlesAvailable,179,1
1421504178540,local,checkIfSubtitlesExists,1475,1
1421504183780,local,getDefaultSubtitle,5239,1
1421504184980,local,translateSubtitleToLanguage,1199,1
1421504184981,local,getSubtitles,8096,1
1421504185212,local,applySubtitles,231,1
1421504185213,local,videoProvisioner,33716,1
1421504204376,local,checkIfAvailable,353,1
1421504206844,local,downloadVideo,2467,1
1421504206845,local,getVideoResource,2822,1
1421504220396,local,scaleVideo,13551,1
1421504220800,local,transcodeVideo,403,1
1421504220992,local,bitDepthReduction,191,1
1421504220993,local,videoProvisioner,16971,1
1421504367252,local,checkIfAvailable,642,1
1421504370732,local,downloadVideo,3479,1
1421504370733,local,getVideoResource,4124,1
1421504393572,local,scaleVideo,22839,1
1421504393828,local,transcodeVideo,255,1
1421504394636,local,bitDepthReduction,807,1
1421504395044,local,checkIfSubtitlesAvailable,407,1
1421504395112,local,checkIfSubtitlesExists,67,1
1421504395448,local,getDefaultSubtitle,335,1
1421504395449,local,getSubtitles,812,1
1421504395492,local,applySubtitles,43,1
1421504395492,local,videoProvisioner,28883,1
1421504449976,local,checkIfAvailable,827,1
1421504451212,local,downloadVideo,1235,1
1421504451213,local,getVideoResource,2065,1
1421504473300,local,scaleVideo,22087,1
1421504474324,local,transcodeVideo,1023,1
1421504475016,local,bitDepthReduction,691,1
1421504475017,local,videoProvisioner,25869,1
1421504507376,local,checkIfAvailable,699,1
1421504508404,local,downloadVideo,1027,1
1421504508405,local,getVideoResource,1729,1
1421504510663,local,checkIfAvailable,1485,1
1421504511663,remote,transcodeVideo,898,1
1421504512748,local,downloadVideo,2084,1
1421504512748,local,getVideoResource,3571,1
1421504523326,local,scaleVideo,14921,1
1421504525351,local,transcodeVideo,2025,1
1421504526275,local,bitDepthReduction,923,1
1421504526276,local,videoProvisioner,19600,1
1421504535432,local,scaleVideo,22683,1
1421504535836,local,transcodeVideo,403,1
1421504536580,local,bitDepthReduction,743,1
1421504536728,local,checkIfSubtitlesAvailable,146,1
1421504536800,local,checkIfSubtitlesExists,70,1
1421504536984,local,getDefaultSubtitle,183,1
1421504536985,local,getSubtitles,404,1
1421504537432,local,applySubtitles,447,1
