timestamp,reqType,service,rt,numberOfReqs 
1421848424785,local,checkIfSubtitlesExists,1970,1
1421848425170,local,downloadVideo,12512,1
1421848425171,local,getVideoResource,20222,1
1421848427066,local,downloadVideo,6178,1
1421848427067,local,getVideoResource,7447,1
1421848428089,local,getDefaultSubtitle,3303,1
1421848428090,local,getSubtitles,5431,1
1421848431856,local,applySubtitles,3765,1
1421848431856,local,videoProvisioner,516245,1
1421848440095,local,checkIfAvailable,8236,1
1421848443030,local,transcodeVideo,20733,1
1421848443225,local,bitDepthReduction,194,1
1421848443226,local,videoProvisioner,543620,1
1421848450397,local,downloadVideo,10301,1
1421848450398,local,getVideoResource,18541,1
1421848453303,local,checkIfAvailable,10067,1
1421848455146,local,downloadVideo,1843,1
1421848455146,local,getVideoResource,11920,1
1421848470637,local,scaleVideo,127983,1
1421848475637,local,transcodeVideo,4999,1
1421848476785,local,bitDepthReduction,1146,1
1421848481883,local,checkIfSubtitlesAvailable,5095,1
1421848485789,local,checkIfSubtitlesExists,3905,1
1421848487181,local,scaleVideo,133430,1
1421848487742,local,transcodeVideo,559,1
1421848492358,local,getDefaultSubtitle,6568,1
1421848495244,local,translateSubtitleToLanguage,2885,1
1421848495245,local,getSubtitles,18459,1
1421848495614,local,applySubtitles,369,1
1421848495614,local,videoProvisioner,563998,1
1421848498946,local,bitDepthReduction,11204,1
1421848501735,local,scaleVideo,142111,1
1421848503636,local,checkIfSubtitlesAvailable,4687,1
1421848511473,local,checkIfSubtitlesExists,7836,1
1421848512120,local,transcodeVideo,10384,1
1421848515201,local,bitDepthReduction,3080,1
1421848515201,local,videoProvisioner,571581,1
1421848515998,local,checkIfAvailable,20381,1
1421848517437,local,checkIfAvailable,2233,1
1421848517437,local,getVideoResource,2235,1
1421848518117,local,downloadVideo,2119,1
1421848518118,local,getVideoResource,22503,1
1421848519435,local,getDefaultSubtitle,7961,1
1421848521511,local,scaleVideo,71113,1
1421848527440,local,translateSubtitleToLanguage,8004,1
1421848527441,local,getSubtitles,28495,1
1421848528272,local,applySubtitles,831,1
1421848528273,local,videoProvisioner,580652,1
1421848535604,local,checkIfAvailable,7329,1
1421848536477,local,transcodeVideo,14965,1
1421848538527,local,bitDepthReduction,2049,1
1421848538527,local,videoProvisioner,566899,1
1421848540410,local,checkIfAvailable,1880,1
1421848543144,local,downloadVideo,2734,1
1421848543144,local,getVideoResource,4616,1
1421848544035,local,downloadVideo,8430,1
1421848544035,local,getVideoResource,15762,1
1421848553467,local,scaleVideo,128296,1
1421848555038,local,scaleVideo,127970,1
1421848558673,local,transcodeVideo,3635,1
1421848559994,local,transcodeVideo,6527,1
1421848560896,local,bitDepthReduction,901,1
1421848560896,local,videoProvisioner,601271,1
1421848564096,local,bitDepthReduction,5421,1
1421848564097,local,videoProvisioner,596469,1
1421848565821,local,checkIfAvailable,1721,1
1421848569311,local,checkIfAvailable,8412,1
1421848569319,local,getVideoResource,8422,1
1421848576776,local,downloadVideo,10954,1
1421848576776,local,getVideoResource,12679,1
1421848620678,local,scaleVideo,324056,1
1421848620965,local,scaleVideo,102847,1
1421848621477,local,transcodeVideo,799,1
1421848625998,local,transcodeVideo,5032,1
1421848630632,local,scaleVideo,113194,1
1421848639057,local,bitDepthReduction,17580,1
1421848639057,local,videoProvisioner,719445,1
1421848645771,local,transcodeVideo,15139,1
1421848650564,local,bitDepthReduction,24564,1
1421848650564,local,videoProvisioner,666932,1
1421848654900,local,bitDepthReduction,9128,1
1421848654900,local,videoProvisioner,655262,1
1421848660274,local,scaleVideo,117129,1
1421848660427,local,transcodeVideo,153,1
1421848661452,local,scaleVideo,117416,1
1421848662076,local,checkIfAvailable,11509,1
1421848664001,local,bitDepthReduction,3573,1
1421848665989,local,downloadVideo,3912,1
1421848665990,local,getVideoResource,15425,1
1421848666460,local,transcodeVideo,5007,1
1421848666840,local,checkIfAvailable,11937,1
1421848671151,local,bitDepthReduction,4690,1
1421848671152,local,videoProvisioner,661512,1
1421848672031,local,checkIfAvailable,876,1
1421848672661,local,downloadVideo,5820,1
1421848672662,local,getVideoResource,17760,1
1421848674818,local,downloadVideo,2786,1
1421848674818,local,getVideoResource,3665,1
1421848678641,local,checkIfSubtitlesAvailable,14637,1
1421848683182,local,checkIfAvailable,44122,1
1421848683508,local,downloadVideo,326,1
1421848683509,local,getVideoResource,44451,1
1421848686794,local,scaleVideo,117474,1
1421848688160,local,transcodeVideo,1365,1
1421848688584,local,bitDepthReduction,423,1
1421848688584,local,videoProvisioner,645602,1
1421848690723,local,checkIfAvailable,2136,1
1421848690724,local,getVideoResource,2139,1
1421848701693,local,checkIfSubtitlesExists,23052,1
1421848704564,local,getDefaultSubtitle,2870,1
1421848704564,local,getSubtitles,40562,1
1421848706742,local,applySubtitles,2177,1
1421848706743,local,videoProvisioner,683766,1
1421848715519,local,checkIfAvailable,8773,1
1421848721698,local,scaleVideo,144921,1
1421848726420,local,transcodeVideo,4722,1
1421848728168,local,scaleVideo,44659,1
1421848729369,local,bitDepthReduction,2948,1
1421848729803,local,downloadVideo,14283,1
1421848729803,local,getVideoResource,23059,1
1421848730064,local,checkIfSubtitlesAvailable,692,1
1421848730428,local,transcodeVideo,2259,1
1421848730862,local,checkIfSubtitlesExists,798,1
1421848737883,local,bitDepthReduction,7455,1
1421848737883,local,videoProvisioner,674895,1
1421848740946,local,checkIfAvailable,3060,1
1421848748400,local,downloadVideo,7453,1
1421848748401,local,getVideoResource,10517,1
1421848752022,local,getDefaultSubtitle,21159,1
1421848752022,local,getSubtitles,22652,1
1421848758471,local,applySubtitles,6448,1
1421848758471,local,videoProvisioner,708821,1
1421848759118,local,checkIfAvailable,644,1
1421848765275,local,downloadVideo,6156,1
1421848765276,local,getVideoResource,6804,1
1421848770890,local,scaleVideo,315743,1
1421848777516,local,transcodeVideo,6625,1
1421848777579,local,scaleVideo,102760,1
1421848778942,local,transcodeVideo,1363,1
1421848779828,local,bitDepthReduction,885,1
1421848779828,local,videoProvisioner,690167,1
1421848796215,local,checkIfAvailable,16380,1
1421848798802,local,downloadVideo,2587,1
1421848798803,local,getVideoResource,18974,1
1421848800575,local,bitDepthReduction,23059,1
1421848800576,local,videoProvisioner,824946,1
1421848800939,local,checkIfAvailable,360,1
1421848801876,local,downloadVideo,937,1
1421848801876,local,getVideoResource,1299,1
1421848815834,local,scaleVideo,143172,1
1421848827434,local,transcodeVideo,11599,1
1421848833867,local,bitDepthReduction,6432,1
1421848835140,local,checkIfSubtitlesAvailable,1271,1
1421848855952,local,checkIfSubtitlesExists,20811,1
1421848859104,local,getDefaultSubtitle,3152,1
1421848859105,local,getSubtitles,25238,1
1421848862804,local,applySubtitles,3699,1
1421848862805,local,videoProvisioner,776477,1
